product_name,category,normal_price,discount_price,reviews_count,rating,discount%,weighted_average
Health Aid A to Z Multivitamin Πολυβιταμίνη 90tabs,"['Βιταμίνες για αθλητές', 'Πολυβιταμίνες σε Κάψουλες', 'Πολυβιταμίνες', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια', 'Βιταμίνες Κατάλληλες για Vegan']",31.0,17.98,16,5.0,0.42,9.4
Phyto Phytophanere Πακέτο Προσφοράς 2 x120caps 1+1 Δώρο,"['Θεραπείες Μαλλιών', 'Βιταμίνες 1+1', 'Μαλλιά - Νύχια - Δέρμα', 'Ανδρική Τριχόπτωση', 'Προϊόντα σε τιμή κόστους!', 'Βιταμίνες για Μαλλιά', 'Βιταμίνες για Τριχόπτωση']",49.6,24.8,29,4.8,0.5,14.48
Vital Plus Silver 50+ Πλήρες Και Ισορροπημένο Πολυβιταμινούχο Συμπλήρωμα Διατροφής 30caps,"['Βιταμίνες 50+', 'Πολυβιταμίνες']",29.9,14.92,13,4.9,0.5,8.14
Frezyderm Intimeo 325mg Συμπλήρωμα Διατροφής που Βοηθά στη Διατήρηση της Σωστής Ισορροπίας του Κολπικού Οικοσυστήματος 14caps,['Γονιμότητα'],22.47,15.5,0,0.0,0.31,0.0
Health Aid Osteoflex with Hyaluronic Acid 60tabs,"['Ειδικά Συμπληρώματα για Αθλητές', 'Οστά - Αρθρώσεις', 'Μαραθώνιος']",72.8,41.5,9,4.6,0.43,6.359999999999999
Solgar Vitamin D3 4000iu 100μg Συμβάλλει στην Απορρόφηση του Ασβεστίου και του Φωσφόρου 60caps,"['Βιταμίνη D3', 'Οστά - Αρθρώσεις', 'Οστεοπόρωση', 'Ανοσοποιητικό', 'Κόπωση & Κούραση', 'Κατάθλιψη', 'Βιταμίνες Κατάλληλες για Vegetarian']",28.45,19.06,3,5.0,0.33,4.2
Frezyderm Prodilac Restore 30caps,"['Προβιοτικά - Ομαλή Λειτουργία Εντέρου', 'Άγχος - Στρες', 'Κόπωση & Κούραση', 'Εμμηνόπαυση', 'Συμπληρώματα Διατροφής για Εγκύους & Θηλάζουσες Μητέρες']",20.05,13.41,9,5.0,0.33,6.6
"Now Foods Zinc Picolinate 50mg Συμπλήρωμα Διατροφής, Ψευδάργυρος στην πιο Απορροφήσιμη Μορφή 60veg.caps","['Ψευδάργυρος', 'Ανοσοποιητικό', 'Βιταμίνες Κατάλληλες για Vegan']",22.25,7.79,2,5.0,0.65,3.8
"Now Foods Testojack 100, 100mg Συμπλήρωμα Διατροφής για την Αύξηση της Φυσικής Τεστοστερόνης & της Ενέργειας 60veg.caps","['Τονωτικά - Διεγερτικά', 'Γονιμότητα', 'Συμπληρώματα Διατροφής για τον Άνδρα', 'Τονωτικά Διεγερτικά', 'Βιταμίνες Κατάλληλες για Vegan']",66.9,23.41,1,5.0,0.65,3.4
Antistax Συμπλήρωμα Διατροφής για Υγιή Πόδια 30 Δισκία,"['Φλεβικές Δυσλειτουργίες Κάτω Άκρων', 'Κουρασμένα- Βαριά Πόδια', 'Καρδιά - Φλέβες - Αγγεία']",17.24,10.34,23,4.9,0.4,12.14
Solgar Omega-3 Double Strength softgels,"['Καρδιά - Φλέβες - Αγγεία', 'Ημικρανίες', 'Ω-3 Λιπαρά Οξέα']",28.95,19.11,9,4.8,0.34,6.48
Medical PQ Syalox 300 Plus Συμπλήρωμα Διατροφής για Οστεοαρθρίτιδα και Πόνο στις Αρθρώσεις 20tabs,['Οστά - Αρθρώσεις'],47.37,34.11,8,4.6,0.28,5.96
"Moller’s Total Ολοκληρωμένη Φόρμουλα με Κάψουλες Ωμέγα-3 & Ταμπλέτες με Βιταμίνες, Μέταλλα & Ιχνοστοιχεία 28caps & 28tabs","['Οστά - Αρθρώσεις', 'Μνήμη - Εγκέφαλος', 'Τόνωση Οφθαλμών', 'Καρδιά - Φλέβες - Αγγεία', 'Χοληστερίνη - Τριγλυκερίδια', 'Υπέρταση', 'Ω-3 Λιπαρά Οξέα', 'Μουρουνέλαιο']",22.95,15.38,132,4.9,0.33,55.74
